transition_id,source_state_id,target_state_id,band_changed,remaining_K_before_changed,remaining_K_after_changed,transition_k_changed,exit_distance_changed,front_changed,residue16_changed,residue32_changed,chain_status_changed,changed_feature_count,bundle_string,count,delta_pattern,source_face,target_face
T0012,band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,5,band:64-127->32-63|R_before:-35|R_after:-32|transition_k:-3|exit_distance:-3|front:near_exit_front->lower_edge_front|chain_status:same|residue16:3->14->0->14|residue32:3->30->0->30,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r16:3->14|r32:3->30,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r16:0->14|r32:0->30
T0013,band=128-255|R=129->127|front=lower_edge_front|chain=caught|k=2|res32=1->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1,1,1,1,1,0,1,1,1,8,all_except_front,4,band:128-255->64-127|R_before:-65|R_after:-64|transition_k:-1|exit_distance:-1|front:same|chain_status:caught->avoid_then_caught|residue16:1->15->0->15|residue32:1->31->0->31,128-255|R:129->127|k:2|d:1|lower_edge_front|caught|r16:1->15|r32:1->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31
T0014,band=128-255|R=131->126|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,3,band:128-255->64-127|R_before:-67|R_after:-63|transition_k:-4|exit_distance:-3|front:near_exit_front->lower_edge_front|chain_status:same|residue16:3->14->0->15|residue32:3->30->0->31,128-255|R:131->126|k:5|d:3|near_exit_front|avoid_then_caught|r16:3->14|r32:3->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31
T0015,band=128-255|R=131->127|front=near_exit_front|chain=avoid_then_caught|k=4|res32=3->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,3,band:128-255->64-127|R_before:-67|R_after:-64|transition_k:-3|exit_distance:-3|front:near_exit_front->lower_edge_front|chain_status:same|residue16:3->15->0->15|residue32:3->31->0->31,128-255|R:131->127|k:4|d:3|near_exit_front|avoid_then_caught|r16:3->15|r32:3->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31
T0016,band=128-255|R=133->127|front=near_exit_front|chain=avoid_then_caught|k=6|res32=5->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,3,band:128-255->64-127|R_before:-69|R_after:-64|transition_k:-5|exit_distance:-5|front:near_exit_front->lower_edge_front|chain_status:same|residue16:5->15->0->15|residue32:5->31->0->31,128-255|R:133->127|k:6|d:5|near_exit_front|avoid_then_caught|r16:5->15|r32:5->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31
T0017,band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,3,band:64-127->32-63|R_before:-34|R_after:-31|transition_k:-3|exit_distance:-2|front:near_exit_front->lower_edge_front|chain_status:same|residue16:3->14->1->15|residue32:3->30->1->31,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r16:3->14|r32:3->30,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r16:1->15|r32:1->31
T0018,band=64-127|R=68->61|front=near_exit_front|chain=avoid|k=7|res32=4->29,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1,1,1,1,1,1,1,1,1,9,all_features,3,band:64-127->32-63|R_before:-36|R_after:-31|transition_k:-5|exit_distance:-4|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->13->0->14|residue32:4->29->0->30,64-127|R:68->61|k:7|d:4|near_exit_front|avoid|r16:4->13|r32:4->29,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r16:0->14|r32:0->30
T0019,band=64-127|R=68->63|front=near_exit_front|chain=avoid|k=5|res32=4->31,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1,1,1,1,1,1,1,1,1,9,all_features,3,band:64-127->32-63|R_before:-36|R_after:-34|transition_k:-2|exit_distance:-4|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->15->0->13|residue32:4->31->0->29,64-127|R:68->63|k:5|d:4|near_exit_front|avoid|r16:4->15|r32:4->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r16:0->13|r32:0->29
T0020,band=64-127|R=70->63|front=near_exit_front|chain=avoid|k=7|res32=6->31,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1,1,1,1,1,1,1,1,1,9,all_features,3,band:64-127->32-63|R_before:-38|R_after:-34|transition_k:-4|exit_distance:-6|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:6->15->0->13|residue32:6->31->0->29,64-127|R:70->63|k:7|d:6|near_exit_front|avoid|r16:6->15|r32:6->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r16:0->13|r32:0->29
T0021,band=64-127|R=70->63|front=near_exit_front|chain=avoid|k=7|res32=6->31,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1,1,1,1,1,1,1,1,1,9,all_features,3,band:64-127->32-63|R_before:-37|R_after:-32|transition_k:-5|exit_distance:-5|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:6->15->1->15|residue32:6->31->1->31,64-127|R:70->63|k:7|d:6|near_exit_front|avoid|r16:6->15|r32:6->31,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r16:1->15|r32:1->31
T0022,band=128-255|R=131->127|front=near_exit_front|chain=caught|k=4|res32=3->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1,1,1,1,1,1,1,1,1,9,all_features,2,band:128-255->64-127|R_before:-67|R_after:-64|transition_k:-3|exit_distance:-3|front:near_exit_front->lower_edge_front|chain_status:caught->avoid_then_caught|residue16:3->15->0->15|residue32:3->31->0->31,128-255|R:131->127|k:4|d:3|near_exit_front|caught|r16:3->15|r32:3->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31
T0023,band=128-255|R=132->126|front=near_exit_front|chain=avoid_then_caught|k=6|res32=4->30,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,2,band:128-255->64-127|R_before:-68|R_after:-63|transition_k:-5|exit_distance:-4|front:near_exit_front->lower_edge_front|chain_status:same|residue16:4->14->0->15|residue32:4->30->0->31,128-255|R:132->126|k:6|d:4|near_exit_front|avoid_then_caught|r16:4->14|r32:4->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31
