level,position_pair,side_condition,basin_id,source_state_id,out_degree,total_out_count,dominant_target_state_id,dominant_target_share,transition_entropy,branching_class,target_state_ids,bundle_strings
F_p_side_basin_x,-4->-3,control,B004,S018,1,12,S014,1.0,0.0,function_like,S014,band+R_before+R_after
F_p_side_basin_x,-3->-2,control,B004,S014,1,12,S010,1.0,0.0,function_like,S010,band+R_before+R_after+chain_status+residue32
F_p_side_basin_x,-2->-1,control,B004,S010,1,12,S032,1.0,0.0,function_like,S032,band+R_before+R_after+residue16+residue32
F_p_side_basin_x,-1->0,control,B004,S032,1,12,S015,1.0,0.0,function_like,S015,all_except_front
F_p_side_basin_x,-4->-3,miss,B001,S026,1,3,S012,1.0,0.0,function_like,S012,all_features
F_p_side_basin_x,-3->-2,miss,B001,S012,1,26,S011,1.0,0.0,function_like,S011,all_features
F_p_side_basin_x,-2->-1,miss,B001,S011,1,26,S031,1.0,0.0,function_like,S031,all_except_chain_status
F_p_side_basin_x,-1->0,miss,B001,S031,1,26,S016,1.0,0.0,function_like,S016,all_except_front
F_p_side_basin_x,-4->-3,control,B001,S017,1,26,S012,1.0,0.0,function_like,S012,band+R_before+R_after+transition_k+residue16+residue32
F_p_side_basin_x,-3->-2,control,B001,S012,1,26,S011,1.0,0.0,function_like,S011,all_features
F_p_side_basin_x,-2->-1,control,B001,S011,1,26,S031,1.0,0.0,function_like,S031,all_except_chain_status
F_p_side_basin_x,-1->0,control,B001,S031,1,26,S016,1.0,0.0,function_like,S016,all_except_front
F_p_side_basin_x,-4->-3,miss,B001,S029,1,3,S012,1.0,0.0,function_like,S012,all_features
F_p_side_basin_x,-4->-3,miss,B001,S023,1,2,S012,1.0,0.0,function_like,S012,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B004,S021,1,3,S014,1.0,0.0,function_like,S014,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B001,S020,1,1,S012,1.0,0.0,function_like,S012,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B002,S024,1,3,S013,1.0,0.0,function_like,S013,all_features
F_p_side_basin_x,-3->-2,miss,B002,S013,1,8,S011,1.0,0.0,function_like,S011,all_features
F_p_side_basin_x,-2->-1,miss,B002,S011,1,8,S031,1.0,0.0,function_like,S031,all_except_chain_status
F_p_side_basin_x,-1->0,miss,B002,S031,1,8,S016,1.0,0.0,function_like,S016,all_except_front
F_p_side_basin_x,-4->-3,control,B002,S017,1,8,S013,1.0,0.0,function_like,S013,band+R_before+R_after+transition_k+residue16+residue32
F_p_side_basin_x,-3->-2,control,B002,S013,1,8,S011,1.0,0.0,function_like,S011,all_features
F_p_side_basin_x,-2->-1,control,B002,S011,1,8,S031,1.0,0.0,function_like,S031,all_except_chain_status
F_p_side_basin_x,-1->0,control,B002,S031,1,8,S016,1.0,0.0,function_like,S016,all_except_front
F_p_side_basin_x,-4->-3,miss,B002,S019,1,2,S013,1.0,0.0,function_like,S013,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B002,S021,1,1,S013,1.0,0.0,function_like,S013,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B001,S021,1,2,S012,1.0,0.0,function_like,S012,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B004,S029,1,3,S014,1.0,0.0,function_like,S014,all_features
F_p_side_basin_x,-4->-3,miss,B004,S019,1,1,S014,1.0,0.0,function_like,S014,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B002,S030,1,1,S013,1.0,0.0,function_like,S013,all_features
F_p_side_basin_x,-4->-3,miss,B004,S025,1,2,S014,1.0,0.0,function_like,S014,all_features
F_p_side_basin_x,-4->-3,miss,B002,S022,1,1,S013,1.0,0.0,function_like,S013,all_features
F_p_side_basin_x,-4->-3,miss,B004,S028,1,1,S014,1.0,0.0,function_like,S014,all_features
F_p_side_basin_x,-4->-3,miss,B001,S027,1,1,S012,1.0,0.0,function_like,S012,all_features
F_p_side_basin_x,-5->-4,miss,B001,S009,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_basin_x,-4->-3,miss,B001,S017,1,14,S012,1.0,0.0,function_like,S012,band+R_before+R_after+transition_k+residue16+residue32
F_p_side_basin_x,-5->-4,miss,B001,S008,1,2,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_basin_x,-5->-4,miss,B001,S006,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_basin_x,-5->-4,miss,B001,S005,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_basin_x,-5->-4,miss,B001,S004,1,1,S017,1.0,0.0,function_like,S017,all_features
F_p_side_basin_x,-5->-4,miss,B001,S007,1,2,S017,1.0,0.0,function_like,S017,all_features
F_p_side_basin_x,-4->-3,miss,B003,S021,1,4,S013,1.0,0.0,function_like,S013,all_except_chain_status
F_p_side_basin_x,-3->-2,miss,B003,S013,1,4,S011,1.0,0.0,function_like,S011,all_features
F_p_side_basin_x,-2->-1,miss,B003,S011,1,4,S032,1.0,0.0,function_like,S032,all_except_chain_status
F_p_side_basin_x,-1->0,miss,B003,S032,1,4,S015,1.0,0.0,function_like,S015,all_except_front
F_p_side_basin_x,-5->-4,control,B003,S003,1,4,S017,1.0,0.0,function_like,S017,all_except_front
F_p_side_basin_x,-4->-3,control,B003,S017,1,4,S013,1.0,0.0,function_like,S013,band+R_before+R_after+transition_k+residue16+residue32
F_p_side_basin_x,-3->-2,control,B003,S013,1,4,S011,1.0,0.0,function_like,S011,all_features
F_p_side_basin_x,-2->-1,control,B003,S011,1,4,S032,1.0,0.0,function_like,S032,all_except_chain_status
F_p_side_basin_x,-1->0,control,B003,S032,1,4,S015,1.0,0.0,function_like,S015,all_except_front
F_p_side_basin_x,-5->-4,miss,B003,S001,1,1,S021,1.0,0.0,function_like,S021,all_features
F_p_side_basin_x,-5->-4,miss,B004,S002,1,1,S021,1.0,0.0,function_like,S021,all_except_chain_status
