pair_id,miss_sample_id,miss_trajectory_id,control_sample_id,control_trajectory_id,source_reconvergence_state,source_minus4_split_type,miss_state_word_-5_0,control_state_word_-5_0,miss_state_-5,miss_state_-4,miss_state_-3,miss_state_-2,miss_state_-1,miss_state_0,control_state_-5,control_state_-4,control_state_-3,control_state_-2,control_state_-1,control_state_0,terminal_suffix_basin_word,collapse_class
TW0061,Sample_C_higher_range_550,50139,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S021 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S021,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
TW0062,Sample_C_higher_range_550,50172,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S021 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S021,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0063,Sample_C_higher_range_550,50173,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S021 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S021,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0066,Sample_C_higher_range_550,50270,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S029 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S029,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0067,Sample_C_higher_range_550,50271,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S029 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S029,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0079,Sample_D_random_550,452335,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S021 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S021,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0080,Sample_D_random_550,468724,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S024 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S024,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
TW0081,Sample_D_random_550,476655,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S029 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S029,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0084,Sample_D_random_550,603011,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S019 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S019,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0056,Sample_C_higher_range_550,50095,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S030 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S030,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
