position_pair,source_position,target_position,source_state_id,target_state_id,count,probability_from_source_within_position,basin_id,side,miss_count,control_count,mixed_label,source_band,target_band,source_R_face,target_R_face,source_front,target_front,source_chain_status,target_chain_status,source_transition_k,target_transition_k,source_residue32,target_residue32,bundle_string,delta_pattern,source_face,target_face,example_trajectory_ids
-4->-3,-4,-3,S029,S014,3,1.0,B004,miss_only,3,0,miss_only,64-127,32-63,70->63,33->31,near_exit_front,lower_edge_front,avoid,avoid_then_caught,7,2,6->31,1->31,all_features,band:64-127->32-63|R_before:70->33|R_after:63->31|transition_k:7->2|exit_distance:6->1|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:6->15->1->15|residue32:6->31->1->31,64-127|R:70->63|k:7|d:6|near_exit_front|avoid|r32:6->31,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,miss:50270|miss:50271|miss:476655
-5->-4,-5,-4,S000,S017,26,0.684211,B001,control_only,0,26,control_only,MISSING,64-127,,64->63,,lower_edge_front,,avoid_then_caught,,1,,0->31,all_features,band:MISSING->64-127|R_before:->64|R_after:->63|transition_k:->1|exit_distance:->0|front:->lower_edge_front|chain_status:->avoid_then_caught|residue16:->0->15|residue32:->0->31,MISSING|R:->|k:|d:|||r32:,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551
-5->-4,-5,-4,S000,S020,1,0.026316,B001,miss_only,1,0,miss_only,MISSING,64-127,,67->61,,near_exit_front,,avoid_then_caught,,6,,3->29,all_features,band:MISSING->64-127|R_before:->67|R_after:->61|transition_k:->6|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->13|residue32:->3->29,MISSING|R:->|k:|d:|||r32:,64-127|R:67->61|k:6|d:3|near_exit_front|avoid_then_caught|r32:3->29,miss:5162
-5->-4,-5,-4,S000,S021,2,0.052632,B001,miss_only,2,0,miss_only,MISSING,64-127,,67->62,,near_exit_front,,avoid_then_caught,,5,,3->30,all_features,band:MISSING->64-127|R_before:->67|R_after:->62|transition_k:->5|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->14|residue32:->3->30,MISSING|R:->|k:|d:|||r32:,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,miss:50172|miss:50173
-5->-4,-5,-4,S000,S023,2,0.052632,B001,miss_only,2,0,miss_only,MISSING,64-127,,67->63,,near_exit_front,,avoid_then_caught,,4,,3->31,all_features,band:MISSING->64-127|R_before:->67|R_after:->63|transition_k:->4|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->15|residue32:->3->31,MISSING|R:->|k:|d:|||r32:,64-127|R:67->63|k:4|d:3|near_exit_front|avoid_then_caught|r32:3->31,miss:50031|miss:763681
-5->-4,-5,-4,S000,S026,3,0.078947,B001,miss_only,3,0,miss_only,MISSING,64-127,,68->63,,near_exit_front,,avoid,,5,,4->31,all_features,band:MISSING->64-127|R_before:->68|R_after:->63|transition_k:->5|exit_distance:->4|front:->near_exit_front|chain_status:->avoid|residue16:->4->15|residue32:->4->31,MISSING|R:->|k:|d:|||r32:,64-127|R:68->63|k:5|d:4|near_exit_front|avoid|r32:4->31,miss:2289|miss:4578|miss:5152
-5->-4,-5,-4,S000,S027,1,0.026316,B001,miss_only,1,0,miss_only,MISSING,64-127,,69->61,,near_exit_front,,avoid,,8,,5->29,all_features,band:MISSING->64-127|R_before:->69|R_after:->61|transition_k:->8|exit_distance:->5|front:->near_exit_front|chain_status:->avoid|residue16:->5->13|residue32:->5->29,MISSING|R:->|k:|d:|||r32:,64-127|R:69->61|k:8|d:5|near_exit_front|avoid|r32:5->29,miss:618769
-5->-4,-5,-4,S000,S029,3,0.078947,B001,miss_only,3,0,miss_only,MISSING,64-127,,70->63,,near_exit_front,,avoid,,7,,6->31,all_features,band:MISSING->64-127|R_before:->70|R_after:->63|transition_k:->7|exit_distance:->6|front:->near_exit_front|chain_status:->avoid|residue16:->6->15|residue32:->6->31,MISSING|R:->|k:|d:|||r32:,64-127|R:70->63|k:7|d:6|near_exit_front|avoid|r32:6->31,miss:4579|miss:588592|miss:61239
-5->-4,-5,-4,S004,S017,1,1.0,B001,miss_only,1,0,miss_only,128-255,64-127,131->125,64->63,near_exit_front,lower_edge_front,caught,avoid_then_caught,6,1,3->29,0->31,all_features,band:128-255->64-127|R_before:131->64|R_after:125->63|transition_k:6->1|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:caught->avoid_then_caught|residue16:3->13->0->15|residue32:3->29->0->31,128-255|R:131->125|k:6|d:3|near_exit_front|caught|r32:3->29,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,miss:839951
-5->-4,-5,-4,S005,S017,3,1.0,B001,miss_only,3,0,miss_only,128-255,64-127,131->126,64->63,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,1,3->30,0->31,all_except_chain_status,band:128-255->64-127|R_before:131->64|R_after:126->63|transition_k:5->1|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->0->15|residue32:3->30->0->31,128-255|R:131->126|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,miss:802015|miss:956887|miss:878747
